,description,Address,Price,Bedroom,Bathroom,Toilet,date,State,Location
5749,Fantastic 5 Bedroom Fully Finished Detached Duplex With Swimming Pool And Bq, Ikota Lekki Lagos ,215000000,5,0,0,2023-05-27,Lagos,Lekki
5750,"Newly Built, Spacious 5 Bedroom Fully Detached Duplex", Ajah Lagos ,65000000,5,5,5,2023-05-27,Lagos,Ajah
5751,Newly Built N Nicely Finished 4 Bedrooms Terraced Duplex," Glory Estate, Ifako Gbagada Lagos ",90000000,4,4,4,2023-05-27,Lagos,Gbagada
5752,Luxury 3 Bedroom Apartments, By Freedom Way Lekki Phase 1 Lagos ,100000000,3,3,4,2023-05-27,Lagos,1
5753,A Semi Detached Duplex Of 6 Bedrooms All Ensuite. With Waiting Room, Allen Avenue Ikeja Lagos ,140000000,6,6,6,2023-05-27,Lagos,Ikeja
5754,Newly Built 4 Bedroom Semi Detached Duplex With A Bq, Mende Ikeja Lagos ,140000000,4,4,4,2023-05-27,Lagos,Ikeja
5755,4 Bedroom Fully Detached Duplex, Katampe Main Abuja Phase 2 Abuja ,150000000,4,4,4,2023-05-27,Abuja,2
5756,Tastefully Built & Well Maintained 4 Bedroom Detached Duplex, Magodo Phase 1 Magodo Isheri Ikeja Lagos ,87000000,4,5,0,2023-05-27,Lagos,Ikeja
5757,5 Bedroom Duplex With Bq, Maryland Maryland Ikeja Lagos ,130000000,5,5,6,2023-05-27,Lagos,Ikeja
5758,Luxury 7 Bedrooms Mansion With Penthouse And 2 Separate Bq, Gwarimpa Extension Gwarimpa Abuja Phase 3 Abuja ,250000000,7,7,7,2023-05-27,Abuja,3
5759,5 Bedroom Detached Duplex+2bq On Approx 670sqm Corner Piece, Lekki Phase 1 Lekki Lagos ,350000000,5,5,5,2022-11-15,Lagos,Lekki
5760,Newly Built 5 Bedroom Fully Detached Serviced Smart Duplex, Omole Phase 1 Omole Ikeja Lagos ,220000000,0,0,0,2023-05-27,Lagos,Ikeja
5761,Tastefully Designed 4bedroom Terrace Duplex, Ikota Lekki Lagos ,57000000,4,4,4,2023-05-27,Lagos,Lekki
5762,Fully Serviced Decently Finished 4 Bed Semi Detached Duplex, 2nd Toll Gate Chevron Drive Lekki Lagos ,80000000,4,4,4,2023-05-27,Lagos,Lekki
5763,Carcass 3 Bedroom Semi Detached Duplex," Mini Estate Off Tejuoso Avenue, (behind Nta Studios), Tejuoso Yaba Yaba Lagos ",37000000,3,3,3,2023-05-27,Lagos,Yaba
5764,Unveiling An Exquisite Oasis: Luxurious 4 Bedroom Terrace Duplex In Prime Location, Victoria Garden City Estate Lagos. Victoria Garden City Lekki Lagos ,220000000,4,4,5,2023-05-29,Lagos,Lekki
5765,5 Bedroom Fully Detached Contemporary Home, Ikota Lekki Lagos ,200000000,5,5,5,2023-05-27,Lagos,Lekki
